M0001|[Promotional Staff]
M2774|Please go back to the commander, and tell him to keep up the good work.
M2775|What is it? I don't have time for chitchat.
M2776|If you have business with me. please talk to my secretary and schedule an appointment. My office is on the second floor.
M2777|- You cannot proceed with the quest when you're carrying too many items with you. -
M2778|[Echinacea]
M2779|Oh adventurer, you've come at the perfect time.
M2780|Since you and I both know that we can't waste time on idle chitchat,
M2781|I'll cut to the chase.
M2782|Most expeditions come to this area to explore the Ash Vacuum,
M2783|but we've come here for a different reason.
M2784|You know about this space gap that was caused by Satan Morocc, don't you?
M2785|Our job is to pursue Satan Morocc and figure out how this all happened.
M2786|Your job is to assist us, and prove that you can be a good member of our expedition.
M2787|... Umm... So, you'll have to.. Let me think which job would be perfect for you.
M2788|Umm.. I remember someone said that he needed assistance...
M2789|Ah, I know what you can do!
M2790|There's a guy conducting an investigation near the space gap. You can go help him.
M2791|Just do what he asks you to do, alright?
M2792|Now go!
M2793|By the way, adventurer,
M2794|What's your name?
M2795|" + strcharinfo(0) + "...
M2796|Ah, you are
M2797|" + strcharinfo(0) + ".
M2798|Well, " + strcharinfo(0) + ", I've just assigned you as Mr. Kidd's assistant.
M2799|Good, everything's done on this end. I just needed to get your name on record.
M2800|What are you still doing here?
M2801|" + strcharinfo(0) + ", your job is to assist Mr. Kidd.
M2802|Please go help him, will you?
M2803|Only authorized personnel can enter this area.
M2804|Go back to the mainland as quickly as possible.
M2805|Your job is to assist Mr. Kidd who's standing near the space gap, otherwise known as the gate.
M2806|Please go help him, okay?
M2807|Why are you back?
M2808|You're irresponsible. How could you abandon such an important duty?
M2809|If you don't want to work, why did you even come here to the Ash Vacuum in the first place?
M2810|Alas! There's no one I can trust!
M2811|You know, when I was working at the palace, I was.. *Blah Blah*...
M2812|- Her rant doesn't seem to be ending any time soon. You'd better go back and help Mr. Kidd, even if your heart's not in it. -
M2813|Hm? Where are you going? I'm not finished!
M2814|Hey, hey!
M2815|Mr. Kidd is such a great young man.
M2816|You should be thankful that I've assigned you to help him. Don't be lazy by neglecting your duties.
M2817|Oh, welcome back!
M2818|I knew you would successfully complete your duties.
M2819|So, tell me; how can I help you?
M2820|A scholar who is familiar with magic?
M2821|What about that old man over there? If you couldn't tell, he comes from a distant country.
M2822|Why are you looking for a scholar, anyway?
M2823|Did Mr. Kidd ask you to find one?
M2824|I see. He's probably looking for a solution for the spell scroll.
M2825|Then yes, that old man would be the perfect person to ask.
M2826|He's from Arunafeltz, and has extensive knowledge in magic as well as sacred power.
M2827|I'm sure he'll be able to help you.
M2828|Do you see an old man over there? He's trying to make a fire with wet firewood to roast a sweet potato.
M2829|His name is Mr. ^4d4dffDefaria^000000.
M2830|Why don't you go show it to him? He might be able to help Mr. Kidd with what he is trying to do.
M2831|If you're seeking advice about the spell scroll, you should go talk to Mr. Defaria.
M2832|I don't practice magic, so I wouldn't know anything about it.
M2833|Oh, welcome back.
M2834|How can I help you?
M2835|Oh... You've brought the journal..
M2836|...Basically it all comes down to Rayan.
M2837|He's been abducted by Satan Morocc.
M2838|If we find Rayan using this location-tracing spell.
M2839|But it'll work only if Satan Morocc actually abducted Rayan.
M2840|Say, what's the tracing pattern number?
M2841|[" + .@input$ + "]
M2842|...Ah, there it is.
M2843|This location-tracing spell uses a pair of magic stones of the same wavelength...
M2844|We can use the spell with one stone to find the other stone with the matching wavelength.
M2845|We'll analyze this pattern number and detect the wavelength.
M2846|It'll take some time before we get the results.
M2847|It's not working for some reason.
M2848|I can't find a magic stone that has the same wavelength as yours.
M2849|This location-tracing spell uses a pair of magic stones of the same wavelength..
M2850|I can't find a magic stone that has the same wavelength as your pattern number.
M2851|Go check the number again.
M2852|Welcome, adventurer.
M2853|I hope they've been able to trace the wavelength by now.
M2854|How'd you like to go check the results?
M2855|To the south of this camp, you'll see a building with a mana detector attached to it.
M2856|Go ask the building manager about the trace results.
M2857|Tracing magic wavelength is not easy as you think.
M2858|Please be patient: the results will arrive soon enough.
M2859|I'm in charge of tracing the wavelength from the Midgard Continent,
M2860|and the south camp is tracing it in this area.
M2861|I asked them to assign top priority to this task, so with any luck, they've finished it by now.
M2862|..What are you doing? I said, go ask the building manager about the trace results.
M2863|How are the results?
M2864|- You told her exactly what you were told by the soldier managing the building. -
M2865|Oh, is that the case? I see.
M2866|That means.. The man called Rayan isn't on the Midgard Continent or in this Ash Vacuum.
M2867|He must be somewhere else.
M2868|As I suspected, he must be with Satan Morocc.
M2869|Pursuing Satan Morocc was supposed to be our last resort..
M2870|...I guess we have no choice now..
M2871|...I should log a report entry into this journal.
M2872|Our pursuit of Satan Morocc is at an end for now.
M2873|You did a great job helping us, and went above and beyond my expectations.
M2874|Here, this is a reward for your help.
M2875|Keep up the good work assisting the explorers in this camp.
M2876|Hmm..
M2877|...Grr...!
M2878|What?! What do you want?
M2879|Why do you keep giving me that dirty look?!
M2880|Argh...!
M2881|Are you annoying me on purpose?
M2882|Go and find something else to do!
M2883|I'm stressed out and I've got a headache writing this report. I don't have the time to deal with you right now.
M2884|Do you understand?
M2885|What is it that worries you?
M2886|Please, I've got enough worries already.
M2887|So, tell me, what is it?
M2888|Oh, you must have questions about that last case, is that right?
M2889|...Wait, are you worried because of him?
M2890|...I see, you're worried about him being supported by the country.
M2891|This isn't a good time to disclose the truth. It'll cause more confusion.
M2892|I believe the diplomats and presidents of both countries are responsible for those national matters.
M2893|This is out of your hands, adventurer.
M2894|So stop worrying about it. Alright?
M2895|No country wants to start a war, especially when we have a greater common enemy.
